EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
113	14918447	4.972816	-96.835	-89.198	0.741	0.777	0.705	0.968	3
114	15101710	5.033903	-155.792	165.872	0.795	0.844	0.747	0.996	9
115	15201126	5.067042	85.533	-98.668	0.849	0.858	0.840	0.994	2
116	15243056	5.081019	99.279	-103.861	0.785	0.756	0.814	0.990	3
117	15282167	5.094056	233.077	-213.221	0.617	0.709	0.525	0.928	6
118	15382619	5.127540	91.337	-91.337	0.841	0.840	0.842	0.993	7
119	15390687	5.130229	-214.748	233.993	0.791	0.788	0.795	0.974	2
120	15392906	5.130969	-214.443	237.048	0.632	0.739	0.525	0.820	2
121	15665905	5.221968	-156.708	178.091	0.603	0.701	0.505	0.990	3
122	15686077	5.228692	-156.403	142.351	0.892	0.909	0.876	0.977	9
123	15759547	5.253182	-150.293	153.043	0.735	0.838	0.633	0.979	8
124	15882358	5.294119	-91.337	-89.504	0.728	0.729	0.726	0.989	2
125	15883205	5.294402	-89.504	-85.838	0.705	0.771	0.639	0.770	2
126	15955144	5.318381	-112.414	126.466	0.762	0.852	0.672	0.994	8
127	16140673	5.380224	-142.656	135.020	0.783	0.866	0.701	0.991	9
128	16298292	5.432764	-160.374	175.037	0.648	0.765	0.532	0.987	7
129	16448029	5.482676	-33.297	-61.400	0.902	0.897	0.906	0.994	9
130	16492456	5.497485	-33.297	-63.233	0.913	0.917	0.910	0.990	10
131	16613014	5.537671	-113.636	126.466	0.740	0.844	0.636	0.985	8
132	16636873	5.545624	-175.953	169.538	0.874	0.879	0.869	0.988	5
133	16798071	5.599357	-119.746	166.483	0.803	0.872	0.734	0.981	10
134	16814169	5.604723	-157.625	160.679	0.763	0.822	0.704	0.995	9
135	16865616	5.621872	164.956	-151.210	0.743	0.639	0.847	0.987	9
136	16933671	5.644557	-114.247	127.077	0.720	0.805	0.634	0.992	3
137	17000645	5.666882	-166.178	185.117	0.710	0.733	0.688	0.988	3
138	17031423	5.677141	-146.933	168.927	0.675	0.759	0.591	0.986	5
139	17120579	5.706860	-115.469	103.250	0.796	0.874	0.718	0.992	4
140	17262427	5.754142	-159.152	174.426	0.789	0.776	0.802	0.992	7
141	17409331	5.803110	134.714	-116.691	0.820	0.766	0.874	0.994	9
142	17554224	5.851408	136.852	-116.386	0.843	0.795	0.891	0.992	9
143	17716853	5.905618	-154.875	130.743	0.789	0.835	0.744	0.985	8
144	17735491	5.911830	-143.878	125.855	0.924	0.931	0.918	0.994	9
145	17818947	5.939649	-162.512	175.953	0.739	0.761	0.717	0.994	3
146	17852798	5.950933	-117.913	122.801	0.885	0.918	0.851	0.991	9
147	17854439	5.951480	165.872	-120.662	0.647	0.464	0.830	0.976	7
148	17956809	5.985603	-82.173	3.360	0.759	0.872	0.646	0.883	2
149	17987309	5.995770	-95.308	5.804	0.729	0.805	0.652	0.991	2
150	18124313	6.041438	-114.247	124.939	0.865	0.883	0.847	0.992	9
151	18149085	6.049695	-154.875	162.818	0.843	0.836	0.850	0.994	8
152	18240045	6.080015	-131.659	125.550	0.801	0.854	0.748	0.987	10
153	18301548	6.100516	121.273	-117.302	0.888	0.872	0.903	0.994	10
